Date;actual;predicted
05.02.2018;254,26;257,0972006
06.02.2018;265,72;260,5186924
07.02.2018;264,56;269,7214617
08.02.2018;250,10;253,5717263
09.02.2018;249,47;241,5312767
12.02.2018;257,95;255,2915806
13.02.2018;258,27;258,614902
14.02.2018;266,00;268,2311677
15.02.2018;280,27;276,6387072
16.02.2018;278,52;279,1930907
20.02.2018;278,55;283,3820452
21.02.2018;281,04;284,478587
22.02.2018;278,14;276,9889265
23.02.2018;285,93;282,5559221
26.02.2018;294,16;293,264409
27.02.2018;290,61;293,9196644
28.02.2018;291,38;293,7158852
01.03.2018;290,39;288,0055184
02.03.2018;301,05;296,8810756
05.03.2018;315,00;310,5442053
06.03.2018;325,22;323,1157133
07.03.2018;321,16;319,7132902
08.03.2018;317,00;316,8661488
09.03.2018;331,44;329,2546617
12.03.2018;321,30;322,9896663
13.03.2018;315,88;317,4586854
14.03.2018;321,55;322,9768233
15.03.2018;321,09;319,53078
16.03.2018;318,45;321,4667509
19.03.2018;313,48;310,3378756
20.03.2018;317,50;318,0188704
21.03.2018;316,48;317,4914318
22.03.2018;306,70;308,2114057
23.03.2018;300,94;303,6664682
26.03.2018;320,35;312,8046939
27.03.2018;300,69;302,0515523
28.03.2018;285,77;286,042969
29.03.2018;295,35;285,4168093
02.04.2018;280,29;279,3325479
03.04.2018;283,67;284,4851657
04.04.2018;288,94;285,0586112
05.04.2018;293,97;295,0765753
06.04.2018;288,85;294,3787499
09.04.2018;289,93;296,1233403
10.04.2018;298,07;294,4228106
11.04.2018;303,67;309,8347064
12.04.2018;309,25;309,1428331
13.04.2018;311,65;310,7788067
16.04.2018;307,78;307,6953259
17.04.2018;336,06;334,513043
18.04.2018;334,52;334,7830012
19.04.2018;332,70;330,2389606
20.04.2018;327,77;330,9344624
23.04.2018;318,69;321,1717405
24.04.2018;307,02;306,7731577
25.04.2018;305,76;298,6234516
26.04.2018;313,98;311,9614015
27.04.2018;311,76;309,4060527
30.04.2018;312,46;315,8367183
01.05.2018;313,30;310,0458459
02.05.2018;313,36;315,112472
03.05.2018;311,69;307,2357976
04.05.2018;320,09;317,6554084
07.05.2018;326,26;325,5837673
08.05.2018;326,89;324,9550653
09.05.2018;330,30;330,5550411
10.05.2018;329,60;328,8365117
11.05.2018;326,46;327,1616767
14.05.2018;328,53;329,8472667
15.05.2018;326,13;324,0956665
16.05.2018;328,19;328,1780235
17.05.2018;325,22;326,4041585
18.05.2018;324,18;324,5363484
21.05.2018;331,82;329,840526
22.05.2018;331,62;334,0372615
23.05.2018;344,72;341,0234006
24.05.2018;349,29;350,1840498
25.05.2018;351,29;353,0657644
29.05.2018;349,73;351,7654962
30.05.2018;353,54;351,4822848
31.05.2018;351,60;352,6973665
01.06.2018;359,93;358,2198476
04.06.2018;361,81;357,5505763
05.06.2018;365,80;367,3677693
06.06.2018;367,45;366,1711746
07.06.2018;361,40;360,2986339
08.06.2018;360,57;360,260276
11.06.2018;361,45;364,3309429
12.06.2018;363,83;364,4530082
13.06.2018;379,93;378,8295246
14.06.2018;392,87;392,8854489
15.06.2018;391,98;395,4320193
18.06.2018;390,40;391,4669331
19.06.2018;404,98;402,082643
20.06.2018;416,76;415,3429323
21.06.2018;415,44;411,8036112
22.06.2018;411,09;412,6721382
25.06.2018;384,48;385,7051803
26.06.2018;399,39;399,7670485
27.06.2018;390,39;397,2224276
28.06.2018;395,42;390,9238443
29.06.2018;391,43;394,3785555
02.07.2018;398,18;391,2539103
03.07.2018;390,52;391,9108653
05.07.2018;398,39;396,2410307
06.07.2018;408,25;405,0608316
09.07.2018;418,97;415,3713459
10.07.2018;415,63;416,3666196
11.07.2018;418,65;418,0480264
12.07.2018;413,50;411,4388606
13.07.2018;395,80;399,3444193
16.07.2018;400,48;398,3687031
17.07.2018;379,48;378,3440082
18.07.2018;375,13;377,2095364
19.07.2018;364,23;369,3204979
20.07.2018;361,05;366,4704273
23.07.2018;362,66;359,0637006
24.07.2018;357,32;357,9539092
25.07.2018;362,87;361,0137534
26.07.2018;363,09;363,0193119
27.07.2018;355,21;354,8362777
30.07.2018;334,96;338,4247866
31.07.2018;337,45;338,00145
01.08.2018;338,38;341,3654542
02.08.2018;344,50;341,5176837
03.08.2018;343,09;340,7450093
06.08.2018;350,92;349,460459
07.08.2018;351,83;353,4327319
08.08.2018;347,61;348,0062296
09.08.2018;349,36;349,9284757
10.08.2018;345,87;346,8275004
13.08.2018;341,31;345,2691364
14.08.2018;337,49;337,8774488
15.08.2018;326,40;325,0652176
16.08.2018;322,44;324,0083895
17.08.2018;316,78;318,758718
20.08.2018;327,73;325,3114203
21.08.2018;338,02;339,09009
22.08.2018;344,44;344,1528199
23.08.2018;339,17;341,7071867
24.08.2018;358,82;355,9468202
27.08.2018;364,58;368,2045651
28.08.2018;368,49;364,345957
29.08.2018;368,04;366,3310883
30.08.2018;370,98;373,6278658
31.08.2018;367,68;372,3809778
04.09.2018;363,60;364,5748926
05.09.2018;341,18;343,0840067
06.09.2018;346,46;350,3947851
07.09.2018;348,68;352,3291982
10.09.2018;348,41;345,1323383
11.09.2018;355,93;353,1397064
12.09.2018;369,95;366,1215749
13.09.2018;368,15;370,0490446
14.09.2018;364,56;366,582872
17.09.2018;350,35;354,6894926
18.09.2018;367,65;363,6450538
19.09.2018;366,96;365,201739
20.09.2018;365,36;364,8886926
21.09.2018;361,19;366,9564664
24.09.2018;369,61;366,8028833
25.09.2018;369,43;366,844355
26.09.2018;377,88;378,9106926
27.09.2018;380,71;379,8085158
28.09.2018;374,13;376,4350454
01.10.2018;381,43;384,1263553
02.10.2018;377,14;378,047856
03.10.2018;377,05;377,8158314
04.10.2018;363,65;363,5750853
05.10.2018;351,35;349,4965453
08.10.2018;349,10;346,0881585
09.10.2018;355,71;355,7521839
10.10.2018;325,89;332,281935
11.10.2018;321,10;325,5045835
12.10.2018;339,56;333,1333083
15.10.2018;333,13;330,6982166
16.10.2018;346,40;341,4033945
17.10.2018;364,70;364,0715674
18.10.2018;346,71;351,0869981
19.10.2018;332,67;340,0708017
22.10.2018;329,54;325,7928677
23.10.2018;333,16;332,1367461
24.10.2018;301,83;307,5677214
25.10.2018;312,87;316,2559058
26.10.2018;299,83;305,2900082
29.10.2018;284,84;283,6180278
30.10.2018;285,81;285,0875083
31.10.2018;301,78;307,5122609
01.11.2018;317,38;309,4743854
02.11.2018;309,10;313,8317241
05.11.2018;315,44;310,4911401
06.11.2018;310,84;311,581091
07.11.2018;327,50;324,1297082
08.11.2018;317,92;322,2724513
09.11.2018;303,47;302,5231528
12.11.2018;294,07;294,7794598
13.11.2018;294,40;297,3738807
14.11.2018;286,73;284,0527036
15.11.2018;290,06;288,6740768
16.11.2018;286,21;286,0397268
19.11.2018;270,60;273,3310468
20.11.2018;266,98;268,2167457
21.11.2018;262,13;264,9529236
23.11.2018;258,82;261,6447389
26.11.2018;261,43;260,032497
27.11.2018;266,63;264,7956869
28.11.2018;282,65;274,7816737
29.11.2018;288,75;283,9058919
30.11.2018;286,13;286,8836431
03.12.2018;290,30;291,1745018
04.12.2018;275,33;283,4033465
06.12.2018;282,88;279,4803897
07.12.2018;265,14;268,4602487
10.12.2018;269,70;267,0777389
11.12.2018;265,32;265,4907793
12.12.2018;274,88;278,0816078
13.12.2018;276,02;274,5967061
14.12.2018;266,84;271,1329922
17.12.2018;262,80;267,4319174
18.12.2018;270,94;273,3763213
19.12.2018;266,77;273,9369619
20.12.2018;260,58;259,0635916
21.12.2018;246,39;246,8977671
24.12.2018;233,88;242,0026351
26.12.2018;253,67;248,0673093
27.12.2018;255,57;246,5851261
28.12.2018;256,08;254,79381
31.12.2018;267,66;268,5426502
02.01.2019;267,66;265,6981757
03.01.2019;271,20;270,7007128
04.01.2019;297,57;292,5844311
07.01.2019;315,34;314,3507164
08.01.2019;320,27;311,6029701
09.01.2019;319,96;319,5268428
10.01.2019;324,66;322,0614769
11.01.2019;337,59;338,2538103
14.01.2019;332,94;331,7753909
15.01.2019;354,64;355,0934261
16.01.2019;351,39;354,0613083
17.01.2019;353,19;353,3613323
18.01.2019;339,10;342,255777
22.01.2019;325,16;326,1972054
23.01.2019;321,99;323,8451104
24.01.2019;326,67;328,5776158
25.01.2019;338,05;337,9684231
28.01.2019;335,66;331,7156897
29.01.2019;328,90;331,7185604
30.01.2019;340,66;338,6569645
31.01.2019;339,50;343,8221696
01.02.2019;339,85;344,711088
04.02.2019;351,34;349,3420454
05.02.2019;355,81;358,8902478
06.02.2019;352,19;349,2925363
07.02.2019;344,71;341,6842944
08.02.2019;347,57;346,1492962
11.02.2019;345,73;348,2215313
12.02.2019;359,97;356,6094558
13.02.2019;351,77;354,0373639
14.02.2019;359,07;356,1957736
15.02.2019;356,87;361,2519681
19.02.2019;361,92;362,9640673
20.02.2019;359,91;360,0695954
21.02.2019;356,97;357,4863134
22.02.2019;363,02;365,1137846
25.02.2019;363,91;368,3573294
26.02.2019;364,97;362,3887353
27.02.2019;362,87;364,2776385
28.02.2019;358,10;361,9369391
01.03.2019;357,32;356,7932209
04.03.2019;351,04;352,3377177
05.03.2019;354,30;352,7967199
06.03.2019;359,61;357,2577026
07.03.2019;352,60;354,5086123
08.03.2019;349,60;346,70683
11.03.2019;358,86;356,0344338
12.03.2019;356,27;355,6895343
13.03.2019;361,21;358,806345
14.03.2019;358,82;361,4682106
15.03.2019;361,46;362,2607628
18.03.2019;363,44;368,9967978
19.03.2019;358,78;359,3580593
20.03.2019;375,22;370,989078
21.03.2019;377,87;375,6964926
22.03.2019;361,01;363,5631221
25.03.2019;366,23;364,4867784
26.03.2019;359,97;360,5915902
27.03.2019;353,37;353,7692535
28.03.2019;354,61;351,4744093
29.03.2019;356,56;355,4944885
01.04.2019;366,96;366,2237324
02.04.2019;367,72;364,9516962
03.04.2019;369,75;370,2825269
04.04.2019;367,88;365,4640457
05.04.2019;365,49;366,3024902
08.04.2019;361,41;361,7785261
09.04.2019;364,71;364,3866318
10.04.2019;363,92;365,5128223
11.04.2019;367,65;365,8854124
12.04.2019;351,14;353,3080746
15.04.2019;348,87;345,4550411
16.04.2019;359,46;361,9243164
17.04.2019;354,74;357,2017224
18.04.2019;360,35;356,9691091
22.04.2019;377,34;373,655936
23.04.2019;381,89;382,8036691
24.04.2019;374,23;375,7064097
25.04.2019;368,33;367,8198349
26.04.2019;374,85;372,1796411
29.04.2019;371,83;370,8695565
30.04.2019;370,54;372,620605
01.05.2019;378,81;383,1537564
02.05.2019;379,06;379,6857859
03.05.2019;385,03;381,9089383
06.05.2019;378,67;379,5910167
07.05.2019;370,46;370,3064307
08.05.2019;364,37;363,7817306
09.05.2019;362,75;356,965305
10.05.2019;361,04;357,5657318
13.05.2019;345,26;346,6649884
14.05.2019;345,61;344,8332293
15.05.2019;354,99;352,0561871
16.05.2019;359,31;360,6036447
17.05.2019;354,45;357,0435684
20.05.2019;348,11;347,576475
21.05.2019;354,27;354,5514072
22.05.2019;359,73;367,2822052
23.05.2019;352,21;350,8050361
24.05.2019;354,39;357,4099575
28.05.2019;355,06;359,293476
29.05.2019;349,19;347,7492488
30.05.2019;351,85;351,7417225
31.05.2019;343,28;345,6005417
03.06.2019;336,63;338,0062106
04.06.2019;353,40;350,6618621
05.06.2019;355,73;352,624591
06.06.2019;357,13;355,3673534
07.06.2019;360,87;362,1874724
10.06.2019;352,01;354,6911663
11.06.2019;351,27;351,8868989
12.06.2019;345,56;346,2418389
13.06.2019;343,43;341,9367712
14.06.2019;339,73;338,7348057
17.06.2019;350,62;349,4118182
18.06.2019;357,12;358,96458
19.06.2019;363,52;359,7459167
20.06.2019;365,21;365,6316689
21.06.2019;369,21;370,5573085
24.06.2019;371,04;374,2471171
25.06.2019;360,30;360,8596727
26.06.2019;362,20;365,8485855
27.06.2019;370,02;369,3244544
28.06.2019;367,32;367,087299
01.07.2019;374,60;375,1065032
02.07.2019;375,43;372,2018277
03.07.2019;381,72;380,3346682
05.07.2019;380,55;378,6919315
08.07.2019;376,16;376,1806231
09.07.2019;379,93;382,7009386
10.07.2019;381,00;367,3511817
11.07.2019;379,50;382,1802471
12.07.2019;373,25;375,1302131
15.07.2019;366,60;365,192026
16.07.2019;365,99;367,2064332
17.07.2019;362,44;363,9434416
18.07.2019;325,21;328,3042609
19.07.2019;315,10;318,8902932
22.07.2019;310,62;310,2273345
23.07.2019;307,30;309,1256371
24.07.2019;317,94;315,8454415
25.07.2019;326,46;324,2178345
26.07.2019;335,78;334,0593995
29.07.2019;332,70;330,6515318
30.07.2019;325,93;324,9675635
31.07.2019;322,99;324,9506137
01.08.2019;319,50;323,3355591
02.08.2019;318,83;314,5897732
05.08.2019;307,63;308,1747448
06.08.2019;310,10;307,5469716
07.08.2019;304,29;300,2582439
08.08.2019;315,90;311,7197299
09.08.2019;308,93;309,4364515
12.08.2019;310,83;309,6289461
13.08.2019;312,28;313,7789916
14.08.2019;299,11;300,3676008
15.08.2019;295,76;291,315426
16.08.2019;302,80;300,6989457
19.08.2019;309,38;309,4508902
20.08.2019;298,99;299,6104185
21.08.2019;297,81;298,3768697
22.08.2019;296,93;295,5691852
23.08.2019;291,44;294,4765784
26.08.2019;294,98;294,5154325
27.08.2019;291,03;290,4098689
28.08.2019;291,77;290,7550937
29.08.2019;296,78;298,9790297
30.08.2019;293,75;292,4345733
03.09.2019;289,29;290,9886336
04.09.2019;291,52;288,3663202
05.09.2019;293,25;290,3233336
06.09.2019;290,17;288,3255451
09.09.2019;294,34;296,9018259
10.09.2019;287,99;289,4172331
11.09.2019;288,27;290,525736
12.09.2019;288,86;290,6239038
13.09.2019;294,15;295,1141912
16.09.2019;294,29;293,202152
17.09.2019;298,60;295,9912054
18.09.2019;291,56;289,9655865
19.09.2019;286,60;286,9433927
20.09.2019;270,75;271,8673658
23.09.2019;265,92;267,7020712
24.09.2019;254,59;257,0043548
25.09.2019;264,75;263,0213015
26.09.2019;263,31;262,8801741
27.09.2019;263,08;262,6993659
30.09.2019;267,62;267,0662452
01.10.2019;269,58;268,7853714
02.10.2019;268,03;267,2328529
03.10.2019;268,15;260,0386232
04.10.2019;272,79;272,9262112
07.10.2019;274,46;275,3496426
08.10.2019;270,72;273,2996932
09.10.2019;267,53;266,5793257
10.10.2019;280,48;276,8655677
11.10.2019;282,93;285,7002594
14.10.2019;285,53;284,9143144
15.10.2019;284,25;282,1724912
16.10.2019;286,28;286,2715329
17.10.2019;293,35;297,3885615
18.10.2019;275,30;278,9343767
21.10.2019;278,05;275,8641324
22.10.2019;266,69;270,7125258
23.10.2019;271,27;271,7216999
24.10.2019;271,50;271,189533
25.10.2019;276,82;275,8275852
28.10.2019;281,86;283,6395869
29.10.2019;281,21;280,3458807
30.10.2019;291,45;290,7703112
31.10.2019;287,41;286,3833212
01.11.2019;286,81;284,5683808
04.11.2019;292,86;293,1937072
05.11.2019;288,03;288,0080008
06.11.2019;288,59;288,153944
07.11.2019;289,57;294,6444621
08.11.2019;291,57;291,9147565
11.11.2019;294,18;294,2123548
12.11.2019;292,01;290,1232085
13.11.2019;283,11;285,0921663
14.11.2019;289,62;289,2146208
15.11.2019;295,03;292,3886931
18.11.2019;302,57;301,08098
19.11.2019;302,60;301,0253503
20.11.2019;305,16;306,7872243
21.11.2019;311,69;310,1248649
22.11.2019;310,48;307,2926194
25.11.2019;315,55;311,5753854
26.11.2019;312,49;313,7317245
27.11.2019;315,93;315,4008686
29.11.2019;314,66;314,487858
02.12.2019;309,99;305,8044948
03.12.2019;306,16;306,1452954
04.12.2019;304,32;304,271691
05.12.2019;302,86;300,9954176
06.12.2019;307,35;305,5905591
09.12.2019;302,50;306,6954553
10.12.2019;293,12;295,6145083
11.12.2019;298,93;298,351509
12.12.2019;298,44;298,110127
13.12.2019;298,50;300,162454
